NO_OF_FRAMES	8666
NO_OF_CAMERAS	14
NO_OF_MARKERS	4
FREQUENCY	120.0
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-03-17, 10:31:40.207	779644.86914480
DATA_INCLUDED	3D
MARKER_NAMES	marker 1	marker 2	marker 3	marker 4
80.594	-386.633	1528.814	0.000	0.000	0.000	120.677	-400.654	1511.717	177.843	-378.619	1514.226
81.391	-386.555	1528.921	0.000	0.000	0.000	121.303	-400.724	1512.261	179.296	-380.431	1514.739
82.132	-386.523	1528.774	0.000	0.000	0.000	121.836	-400.900	1512.428	180.188	-380.981	1515.069
69.589	-373.663	1533.732	0.000	0.000	0.000	122.404	-401.056	1512.263	181.160	-381.986	1514.868
70.477	-372.731	1532.887	0.000	0.000	0.000	123.278	-400.949	1511.670	181.882	-382.888	1514.058
71.209	-372.646	1531.524	0.000	0.000	0.000	123.826	-401.336	1510.540	182.645	-383.463	1512.961
71.998	-372.790	1529.696	0.000	0.000	0.000	124.507	-401.859	1508.801	183.367	-384.461	1511.066
72.896	-373.181	1527.358	0.000	0.000	0.000	125.247	-402.524	1506.455	184.193	-385.376	1508.722
73.844	-373.839	1524.539	0.000	0.000	0.000	125.980	-403.358	1503.472	185.017	-386.416	1505.731
74.750	-374.827	1521.302	0.000	0.000	0.000	126.818	-404.311	1499.929	185.908	-387.525	1502.199
75.122	-375.805	1517.804	0.000	0.000	0.000	127.643	-405.265	1495.917	185.722	-387.937	1497.821
75.880	-377.163	1513.794	0.000	0.000	0.000	128.342	-406.416	1491.463	186.455	-389.023	1493.628
76.539	-378.557	1509.477	0.000	0.000	0.000	129.038	-407.530	1486.816	187.101	-390.132	1489.258
77.068	-379.977	1505.006	0.000	0.000	0.000	129.596	-408.612	1482.023	187.677	-391.245	1484.909
77.834	-381.546	1500.325	0.000	0.000	0.000	130.057	-409.632	1477.256	188.123	-392.272	1480.614
91.343	-396.537	1489.474	0.000	0.000	0.000	130.042	-411.195	1472.376	188.442	-393.127	1476.464
0.000	0.000	0.000	0.000	0.000	0.000	130.149	-412.518	1467.542	188.680	-393.875	1472.378
0.000	0.000	0.000	0.000	0.000	0.000	130.342	-413.628	1462.808	188.874	-394.509	1468.434
0.000	0.000	0.000	0.000	0.000	0.000	130.585	-414.553	1458.228	189.021	-395.028	1464.610
0.000	0.000	0.000	0.000	0.000	0.000	130.842	-415.321	1453.858	189.097	-395.625	1460.843
0.000	0.000	0.000	0.000	0.000	0.000	131.080	-415.957	1449.751	189.164	-396.204	1457.221
0.000	0.000	0.000	0.000	0.000	0.000	131.260	-416.489	1445.963	194.990	-398.157	1455.178
0.000	0.000	0.000	0.000	0.000	0.000	131.349	-416.946	1442.547	189.212	-397.049	1450.552
0.000	0.000	0.000	0.000	0.000	0.000	131.311	-417.353	1439.559	189.065	-397.630	1447.483
0.000	0.000	0.000	0.000	0.000	0.000	131.110	-417.739	1437.053	194.316	-400.273	1445.927
0.000	0.000	0.000	0.000	0.000	0.000	130.710	-418.130	1435.083	194.178	-401.096	1443.522
0.000	0.000	0.000	0.000	0.000	0.000	130.076	-418.554	1433.704	193.763	-401.933	1441.774
129.300	-418.912	1432.965	0.000	0.000	0.000	0.000	0.000	0.000	189.052	-401.923	1439.841
128.400	-419.210	1432.824	0.000	0.000	0.000	0.000	0.000	0.000	188.366	-402.501	1439.300
127.395	-419.457	1433.240	0.000	0.000	0.000	0.000	0.000	0.000	187.460	-403.000	1439.409
126.303	-419.657	1434.171	0.000	0.000	0.000	0.000	0.000	0.000	186.540	-403.410	1440.097
125.143	-419.819	1435.577	0.000	0.000	0.000	0.000	0.000	0.000	185.440	-403.816	1441.345
123.934	-419.949	1437.414	0.000	0.000	0.000	0.000	0.000	0.000	184.323	-404.091	1443.098
122.693	-420.054	1439.642	0.000	0.000	0.000	183.120	-404.403	1445.277	0.000	0.000	0.000
121.439	-420.142	1442.220	0.000	0.000	0.000	181.842	-404.739	1447.849	0.000	0.000	0.000
120.190	-420.218	1445.105	0.000	0.000	0.000	180.503	-405.088	1450.778	0.000	0.000	0.000
0.000	0.000	0.000	118.966	-420.290	1448.257	179.117	-405.439	1454.033	0.000	0.000	0.000
0.000	0.000	0.000	117.860	-420.364	1451.592	177.695	-405.780	1457.577	0.000	0.000	0.000
0.000	0.000	0.000	116.663	-420.448	1455.193	176.253	-406.099	1461.379	0.000	0.000	0.000
0.000	0.000	0.000	115.169	-420.549	1459.146	174.802	-406.386	1465.403	0.000	0.000	0.000
0.000	0.000	0.000	113.651	-420.523	1463.332	173.357	-406.627	1469.616	0.000	0.000	0.000
0.000	0.000	0.000	112.086	-420.438	1467.805	171.916	-406.832	1473.978	0.000	0.000	0.000
0.000	0.000	0.000	110.627	-420.214	1472.454	170.514	-406.960	1478.464	0.000	0.000	0.000
60.544	-387.504	1498.663	109.240	-419.828	1477.227	0.000	0.000	0.000	169.182	-406.968	1483.050
59.457	-386.415	1503.209	107.900	-419.348	1482.105	0.000	0.000	0.000	167.953	-406.817	1487.710
58.540	-385.233	1507.777	98.529	-425.966	1494.878	0.000	0.000	0.000	166.822	-406.533	1492.352
57.662	-383.963	1512.389	104.438	-418.944	1491.889	0.000	0.000	0.000	165.741	-406.163	1496.933
53.698	-382.896	1517.771	103.443	-418.212	1496.679	0.000	0.000	0.000	164.733	-405.771	1501.450
50.565	-379.792	1525.619	102.474	-417.453	1501.329	0.000	0.000	0.000	163.872	-405.245	1505.881
